p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	threshold
SEM1	4.01257153035952e-17	-0.557509806920561	0.239	0.351	7.22824635478963e-13	Myeloid cell	SEM1	Down
POLE3	4.01489077060463e-17	-0.671195300543882	0.161	0.259	7.23242423416718e-13	Myeloid cell	POLE3	Down
MIR223	4.0405010339495e-17	-1.60812914664233	0.022	0.066	7.27855856255662e-13	Myeloid cell	MIR223	Down
RNA5-8S	4.10685444906545e-17	0.820828044642761	0.453	0.359	7.39808760454649e-13	Myeloid cell	RNA5-8S	Up
ACTR2	4.20684143451749e-17	-0.329984637295118	0.679	0.797	7.5782041601398e-13	Myeloid cell	ACTR2	Down
CCNB2	4.3071539750348e-17	-1.72205591249887	0.018	0.058	7.7589071706277e-13	Myeloid cell	CCNB2	Down
IFITM3	5.10626556326479e-17	2.29994471336788	0.085	0.02	9.19842678566519e-13	Myeloid cell	IFITM3	Up
MCMDC2	5.15026627641952e-17	-1.25632688360228	0.04	0.095	9.27768967034212e-13	Myeloid cell	MCMDC2	Down
GNS	6.20480989624257e-17	1.17542852919144	0.18	0.089	1.11773445470914e-12	Myeloid cell	GNS	Up
LIMA1	7.1879794088285e-17	-1.37994344583224	0.028	0.075	1.29484261070637e-12	Myeloid cell	LIMA1	Down
NUFIP2	7.19035058482982e-17	0.836211721556871	0.318	0.21	1.29526975435124e-12	Myeloid cell	NUFIP2	Up
CMTM6	7.47474936242985e-17	-0.465528838320917	0.366	0.485	1.34650135014811e-12	Myeloid cell	CMTM6	Down
AKAP13	7.5212250106508e-17	-0.519938738243054	0.361	0.48	1.35487347341863e-12	Myeloid cell	AKAP13	Down
HIRIP3	7.90393699143496e-17	-1.43501241179785	0.026	0.072	1.42381520963709e-12	Myeloid cell	HIRIP3	Down
SRSF7	7.94148844867556e-17	-0.707471830420915	0.188	0.287	1.43057972914442e-12	Myeloid cell	SRSF7	Down
PDIA4	8.01725363408376e-17	-0.674750197720509	0.14	0.232	1.44422806964385e-12	Myeloid cell	PDIA4	Down
HLA-DQA2	9.09976546309664e-17	3.53880173612206	0.058	0.005	1.63923175052223e-12	Myeloid cell	HLA-DQA2	Up
DDX46	9.49447202502693e-17	-0.594257245766074	0.199	0.304	1.71033419058835e-12	Myeloid cell	DDX46	Down
PDS5B	9.77556149196506e-17	-0.810805377767947	0.121	0.206	1.76096964716259e-12	Myeloid cell	PDS5B	Down
ID2	9.93719849053679e-17	-0.441361198484501	0.32	0.442	1.7900869360853e-12	Myeloid cell	ID2	Down
TRIP13	1.0199775836587e-16	-2.01578711555558	0.01	0.042	1.83738761920278e-12	Myeloid cell	TRIP13	Down
PM20D2	1.06609792560334e-16	-1.33771521044294	0.038	0.092	1.92046880318186e-12	Myeloid cell	PM20D2	Down
CDC42BPA	1.10855968627458e-16	-3.96998342594245	0.001	0.018	1.99695941885503e-12	Myeloid cell	CDC42BPA	Down
KLF2	1.19632654213287e-16	1.53420772476151	0.131	0.052	2.15506263299815e-12	Myeloid cell	KLF2	Up
PTPN6	1.22232432981113e-16	0.75950659726973	0.248	0.144	2.20189504772178e-12	Myeloid cell	PTPN6	Up
TK1	1.24595156830946e-16	-1.2973574728268	0.034	0.085	2.24445715515266e-12	Myeloid cell	TK1	Down
HDGFL3	1.33134950218674e-16	-1.88193136882079	0.012	0.045	2.3982929932392e-12	Myeloid cell	HDGFL3	Down
RNASEH2B	1.34075518438176e-16	-0.827077820475416	0.125	0.211	2.4152363891453e-12	Myeloid cell	RNASEH2B	Down
SRSF2	1.34745281355411e-16	-0.569773966372865	0.21	0.315	2.42730149833638e-12	Myeloid cell	SRSF2	Down
NFAT5	1.41898273447755e-16	1.78984928927573	0.11	0.038	2.55615549788786e-12	Myeloid cell	NFAT5	Up
IGSF6	1.53802856042878e-16	-0.451565619588481	0.249	0.367	2.77060464875641e-12	Myeloid cell	IGSF6	Down
NSRP1	1.68243906178582e-16	-0.751830565209153	0.118	0.203	3.03074572590098e-12	Myeloid cell	NSRP1	Down
STX11	1.69100049232469e-16	-0.6925540047123	0.15	0.243	3.0461682868737e-12	Myeloid cell	STX11	Down
IL7R	1.77618335355665e-16	-2.17928584783845	0.008	0.037	3.19961669309694e-12	Myeloid cell	IL7R	Down
MEIS1	1.91963678570767e-16	3.42899772711732	0.059	0.006	3.4580337057738e-12	Myeloid cell	MEIS1	Up
SEC61G	1.9204061491788e-16	-0.791119149518831	0.125	0.211	3.45941963713068e-12	Myeloid cell	SEC61G	Down
POLA1	1.96437709660305e-16	-1.21177822137796	0.046	0.104	3.53862890182074e-12	Myeloid cell	POLA1	Down
PPP1R15A	2.14188992833032e-16	0.805772918590062	0.426	0.332	3.85840051689424e-12	Myeloid cell	PPP1R15A	Up
RBBP7	2.37963398145392e-16	-0.734766964248419	0.127	0.214	4.28667265419109e-12	Myeloid cell	RBBP7	Down
ORC1	2.43783605303018e-16	-2.01578711555558	0.012	0.045	4.39151786592857e-12	Myeloid cell	ORC1	Down
BEX3	2.44006792761828e-16	-1.65670602225075	0.018	0.056	4.39553836481157e-12	Myeloid cell	BEX3	Down
CTNNAL1	2.55984462188444e-16	-1.04510268238013	0.047	0.105	4.61130410186264e-12	Myeloid cell	CTNNAL1	Down
MYL6	2.6036162953987e-16	-0.256495375245375	0.821	0.904	4.69015439453123e-12	Myeloid cell	MYL6	Down
ZNF331	2.62452787282725e-16	-1.70412735612204	0.025	0.069	4.727824510111e-12	Myeloid cell	ZNF331	Down
PXMP2	2.65955169865403e-16	-1.70703440941595	0.018	0.056	4.79091642995537e-12	Myeloid cell	PXMP2	Down
TMCO1	2.7688131889608e-16	-0.603291810839185	0.178	0.277	4.98774007859398e-12	Myeloid cell	TMCO1	Down
NME2	2.82227487804075e-16	-0.417527792220961	0.367	0.496	5.08404596530261e-12	Myeloid cell	NME2	Down
FAM120A	2.93698337759853e-16	-0.483267262966419	0.252	0.364	5.29068185640599e-12	Myeloid cell	FAM120A	Down
HLA-DPB1	2.99160565466127e-16	1.22447598261956	0.333	0.239	5.38907842630682e-12	Myeloid cell	HLA-DPB1	Up
PTPRE	3.07691382858645e-16	-0.491400055077508	0.363	0.478	5.54275257081562e-12	Myeloid cell	PTPRE	Down
GINS2	3.11841767111424e-16	-1.43082461483442	0.026	0.071	5.6175175927452e-12	Myeloid cell	GINS2	Down
CALCOCO2	3.34908588484382e-16	0.845236471295614	0.26	0.157	6.03304331295765e-12	Myeloid cell	CALCOCO2	Up
PTGER4	3.37985245222237e-16	1.34269877303571	0.151	0.069	6.08846620743337e-12	Myeloid cell	PTGER4	Up
EFCAB2	3.99907217129651e-16	-1.0493396752666	0.05	0.11	7.20392860937353e-12	Myeloid cell	EFCAB2	Down
NHP2	4.22274185581295e-16	-0.7129289836668	0.14	0.229	7.60684717906146e-12	Myeloid cell	NHP2	Down
SNRPD2	4.25960586278155e-16	-0.425619937195266	0.396	0.514	7.67325400121468e-12	Myeloid cell	SNRPD2	Down
EIF1AY	4.49356645848234e-16	-0.885619823350998	0.074	0.144	8.09471061831009e-12	Myeloid cell	EIF1AY	Down
SPTBN1	4.62721188359791e-16	-0.911836151516667	0.079	0.15	8.33545948711327e-12	Myeloid cell	SPTBN1	Down
KHSRP	4.94971553479137e-16	-0.891361662259911	0.094	0.17	8.91641756437317e-12	Myeloid cell	KHSRP	Down
BCLAF1	4.95374875452998e-16	-0.337336666239719	0.443	0.573	8.92368300641031e-12	Myeloid cell	BCLAF1	Down
NCF1C	4.99399557355009e-16	1.99544013986768	0.081	0.019	8.99618362619313e-12	Myeloid cell	NCF1C	Up
SRGAP1	5.12403930983278e-16	2.87498381468967	0.063	0.009	9.23044441273276e-12	Myeloid cell	SRGAP1	Up
RPL36AL	5.26640103423197e-16	-0.372610000889124	0.494	0.613	9.48689482306547e-12	Myeloid cell	RPL36AL	Down
SRP14	5.69365276097747e-16	-0.323396817186848	0.548	0.67	1.02565460836248e-11	Myeloid cell	SRP14	Down
LOC100996385	5.77690822240177e-16	-0.711844766141576	0.117	0.201	1.04065224718345e-11	Myeloid cell	LOC100996385	Down
HAUS1	6.52305174301145e-16	-0.966185029355829	0.071	0.139	1.17506254098608e-11	Myeloid cell	HAUS1	Down
LRPAP1	7.55267380120592e-16	0.891502510629651	0.237	0.14	1.36053865854923e-11	Myeloid cell	LRPAP1	Up
CDC6	7.73678502368915e-16	-1.54630183225436	0.02	0.059	1.39370445416736e-11	Myeloid cell	CDC6	Down
MRTO4	8.30796866132114e-16	-1.15519017222099	0.043	0.098	1.49659747465039e-11	Myeloid cell	MRTO4	Down
DTYMK	8.44865341786554e-16	-1.33771521044294	0.033	0.082	1.5219404266943e-11	Myeloid cell	DTYMK	Down
TOP2B	8.60468440826073e-16	-0.520164521279445	0.239	0.346	1.55004784930409e-11	Myeloid cell	TOP2B	Down
KLHL24	8.70173021520857e-16	1.65286153567044	0.105	0.035	1.56752968096767e-11	Myeloid cell	KLHL24	Up
CES1	8.80689902945214e-16	-0.813756309813084	0.097	0.174	1.58647479116551e-11	Myeloid cell	CES1	Down
HOXA5	9.52306616631292e-16	4.04598908203111	0.051	0.003	1.71548513919961e-11	Myeloid cell	HOXA5	Up
FAM102B	1.00546428498441e-15	-1.23894550189058	0.04	0.092	1.81124336297092e-11	Myeloid cell	FAM102B	Down
LAMP5	1.0970936398184e-15	-3.05531547974221	0.003	0.023	1.97630448276887e-11	Myeloid cell	LAMP5	Down
NCAPG	1.4387285839836e-15	-1.38273032663337	0.027	0.071	2.59172567118806e-11	Myeloid cell	NCAPG	Down
RNU4-2	1.51722261857402e-15	1.79597747384004	0.117	0.045	2.73312482509925e-11	Myeloid cell	RNU4-2	Up
PMP22	1.55958274670039e-15	-1.90475580316683	0.012	0.044	2.80943235990608e-11	Myeloid cell	PMP22	Down
PLXNC1	1.70833669009038e-15	-1.16180213916103	0.047	0.102	3.07739771352881e-11	Myeloid cell	PLXNC1	Down
ACAT1	1.80226087630597e-15	-0.832565291499805	0.109	0.187	3.24659274257758e-11	Myeloid cell	ACAT1	Down
RBP7	1.81238861647536e-15	-1.76203052330979	0.016	0.051	3.26483685371871e-11	Myeloid cell	RBP7	Down
MRPL48	1.93956831123583e-15	-1.04926182010666	0.063	0.126	3.49393835586023e-11	Myeloid cell	MRPL48	Down
SESN3	1.95800799580655e-15	1.29870613249557	0.207	0.12	3.52715560364592e-11	Myeloid cell	SESN3	Up
VCL	2.11999889036772e-15	-0.737178684652579	0.15	0.238	3.8189660011084e-11	Myeloid cell	VCL	Down
GGA1	2.19655797015259e-15	2.18988791083594	0.081	0.021	3.95687952743287e-11	Myeloid cell	GGA1	Up
MIS18A	2.2702307169342e-15	-1.290503326437	0.031	0.078	4.08959361348527e-11	Myeloid cell	MIS18A	Down
CTSA	2.37250469007501e-15	1.25024977843974	0.146	0.067	4.27382994870112e-11	Myeloid cell	CTSA	Up
FCGR2B	2.38099423509795e-15	3.21128179299035	0.057	0.006	4.28912301510545e-11	Myeloid cell	FCGR2B	Up
MPZL1	2.40929710170838e-15	-1.13362360584943	0.058	0.118	4.34010779901747e-11	Myeloid cell	MPZL1	Down
EIF4A3	2.47237881561162e-15	-0.751192195734165	0.079	0.149	4.45374319844277e-11	Myeloid cell	EIF4A3	Down
EIF2S2	2.52181469250691e-15	-0.403220814498611	0.291	0.411	4.54279698708194e-11	Myeloid cell	EIF2S2	Down
CACNA2D4	2.71032641486975e-15	1.97873775437827	0.08	0.02	4.88238200374636e-11	Myeloid cell	CACNA2D4	Up
NCF1	2.81111078418611e-15	1.71407636292542	0.106	0.038	5.06393496663286e-11	Myeloid cell	NCF1	Up
CDK5RAP2	3.03977511197742e-15	-0.877133575769545	0.07	0.136	5.47585088671612e-11	Myeloid cell	CDK5RAP2	Down
NAA50	3.0971898612445e-15	-0.845862114113263	0.11	0.188	5.57927781604585e-11	Myeloid cell	NAA50	Down
RBM39	3.14008149999053e-15	-0.332445663197563	0.575	0.687	5.65654281408293e-11	Myeloid cell	RBM39	Down
OSTC	3.20112364643856e-15	-0.55216943583167	0.228	0.33	5.76650413669443e-11	Myeloid cell	OSTC	Down
HNRNPUL1	3.22868458739094e-15	-0.562835370042293	0.208	0.308	5.81615241572604e-11	Myeloid cell	HNRNPUL1	Down
RBM17	3.35256116325546e-15	-0.650824109696093	0.175	0.268	6.03930367948838e-11	Myeloid cell	RBM17	Down
ANXA5	3.4366736383687e-15	-0.352927420571696	0.448	0.576	6.19082389215737e-11	Myeloid cell	ANXA5	Down
DIAPH3	3.56166073142248e-15	-1.50121394272582	0.022	0.063	6.41597564158445e-11	Myeloid cell	DIAPH3	Down
ATXN10	3.61703876269818e-15	-0.905101317487939	0.07	0.136	6.51573362712449e-11	Myeloid cell	ATXN10	Down
PHF10	3.6385518354068e-15	-0.993903997657125	0.07	0.135	6.55448727630181e-11	Myeloid cell	PHF10	Down
KIAA1524	3.68198256680768e-15	-1.16779020900063	0.038	0.088	6.63272339584736e-11	Myeloid cell	KIAA1524	Down
STX16	3.77846160760105e-15	1.00835523034223	0.212	0.121	6.80652073993252e-11	Myeloid cell	STX16	Up
FAM129A	4.06059056812959e-15	-0.952855859829119	0.09	0.162	7.31474784942865e-11	Myeloid cell	FAM129A	Down
HNRNPK	4.11014084862004e-15	-0.313495116574723	0.588	0.7	7.40400772470414e-11	Myeloid cell	HNRNPK	Down
P2RY13	4.14471260657562e-15	1.00928490640126	0.166	0.082	7.46628528948533e-11	Myeloid cell	P2RY13	Up
TRIM14	4.3795149918526e-15	-0.907896392607447	0.085	0.154	7.88925830632327e-11	Myeloid cell	TRIM14	Down
PALLD	4.3980362780359e-15	2.62806907421915	0.064	0.011	7.92262255125387e-11	Myeloid cell	PALLD	Up
CLEC4E	4.40240559778877e-15	-1.1243679287095	0.052	0.11	7.93049344385668e-11	Myeloid cell	CLEC4E	Down
C20orf27	4.42101730490992e-15	-0.825516844801083	0.095	0.168	7.96402057306473e-11	Myeloid cell	C20orf27	Down
TMEM237	4.54796753465427e-15	-1.18179706699451	0.041	0.092	8.19270871692619e-11	Myeloid cell	TMEM237	Down
TCEAL8	5.31488937294127e-15	-0.811248359031926	0.103	0.179	9.5742417164164e-11	Myeloid cell	TCEAL8	Down
JAML	5.38394319147011e-15	1.15058257154168	0.244	0.154	9.69863526511426e-11	Myeloid cell	JAML	Up
RTKN2	5.55583650177035e-15	-3.96331969566144	0.001	0.016	1.00082838742891e-10	Myeloid cell	RTKN2	Down
SNORD13	5.90304821647051e-15	2.074410693416	0.081	0.022	1.063375105715e-10	Myeloid cell	SNORD13	Up
PRKAG2-AS1	6.0960152609605e-15	-1.41571772244421	0.021	0.061	1.09813618910942e-10	Myeloid cell	PRKAG2-AS1	Down
TMEM70	6.8450881949532e-15	-0.314434299256858	0.347	0.475	1.23307418743887e-10	Myeloid cell	TMEM70	Down
EIF4EBP2	7.46946307633859e-15	-0.666719270194328	0.172	0.263	1.34554907857163e-10	Myeloid cell	EIF4EBP2	Down
FOLR3	7.50873808184468e-15	-2.76424834855961	0.004	0.025	1.3526240780635e-10	Myeloid cell	FOLR3	Down
LOC441454	7.82533866775412e-15	-0.859181256510761	0.092	0.164	1.40965650760923e-10	Myeloid cell	LOC441454	Down
CLDN10	8.60483887693878e-15	-3.01578711555558	0.002	0.019	1.55007567529175e-10	Myeloid cell	CLDN10	Down
PRDX3	9.81277056355364e-15	-0.5835744724686	0.177	0.271	1.76767248931855e-10	Myeloid cell	PRDX3	Down
TMEM106C	1.02780360931433e-14	-1.38630594805577	0.028	0.072	1.85148542181883e-10	Myeloid cell	TMEM106C	Down
PSIP1	1.05007818070925e-14	-0.641895599046763	0.137	0.222	1.89161083472965e-10	Myeloid cell	PSIP1	Down
CARD8	1.09838325631878e-14	1.01519939050078	0.205	0.118	1.97862759793265e-10	Myeloid cell	CARD8	Up
AHNAK	1.11771567392577e-14	0.513404250456448	0.629	0.553	2.01345301500987e-10	Myeloid cell	AHNAK	Up
SH3BGRL3	1.12710463780385e-14	0.669269323226079	0.446	0.359	2.03036629453985e-10	Myeloid cell	SH3BGRL3	Up
HPRT1	1.31281512405536e-14	-0.876428830409113	0.067	0.129	2.36490516447332e-10	Myeloid cell	HPRT1	Down
PKIA	1.44941349963433e-14	-5.40810453833434	0	0.012	2.61097347824129e-10	Myeloid cell	PKIA	Down
SLC16A1	1.52519420065009e-14	-1.52546148897249	0.018	0.055	2.74748483305108e-10	Myeloid cell	SLC16A1	Down
CCNL2	1.62183552087039e-14	1.18348184746888	0.167	0.087	2.92157450729592e-10	Myeloid cell	CCNL2	Up
ASF1B	1.67559404478222e-14	-1.92697784859772	0.011	0.04	3.01841511227069e-10	Myeloid cell	ASF1B	Down
ST8SIA6	1.7240274901384e-14	2.3403566946697	0.07	0.016	3.10566312073531e-10	Myeloid cell	ST8SIA6	Up
TSEN15	1.72478769434316e-14	-1.32189024328126	0.025	0.066	3.10703255258977e-10	Myeloid cell	TSEN15	Down
HK3	1.76669267691334e-14	1.3664189912559	0.115	0.045	3.1825201881917e-10	Myeloid cell	HK3	Up
HLA-DPA1	1.79575153908366e-14	1.21594317036021	0.373	0.292	3.2348668225053e-10	Myeloid cell	HLA-DPA1	Up
SRGN	1.9382247434568e-14	0.588274620048814	0.963	0.992	3.49151805286308e-10	Myeloid cell	SRGN	Up
CHRAC1	2.01438229135172e-14	-0.797066610278419	0.094	0.166	3.62870825964099e-10	Myeloid cell	CHRAC1	Down
LSM4	2.029794185534e-14	-0.739726029425542	0.105	0.18	3.65647124582095e-10	Myeloid cell	LSM4	Down
PROK2	2.08457784617974e-14	1.79646660591487	0.084	0.025	3.75515853210818e-10	Myeloid cell	PROK2	Up
EIF5AL1	2.13518004032363e-14	-0.801662310202728	0.103	0.177	3.84631332463899e-10	Myeloid cell	EIF5AL1	Down
HOTAIRM1	2.15941835665988e-14	1.16412197445936	0.135	0.061	3.8899762276871e-10	Myeloid cell	HOTAIRM1	Up
SLPI	2.28522320090153e-14	3.40674492027019	0.051	0.005	4.11660107410402e-10	Myeloid cell	SLPI	Up
EPRS	2.29759379090238e-14	-0.594175385982777	0.179	0.272	4.13888545493156e-10	Myeloid cell	EPRS	Down
SACS	2.29923742262223e-14	-1.08063825990554	0.047	0.101	4.14184629311169e-10	Myeloid cell	SACS	Down
GIMAP7	2.44469429109104e-14	2.14744323331273	0.08	0.022	4.4038722959714e-10	Myeloid cell	GIMAP7	Up
PMAIP1	2.47391854745002e-14	1.24085761498912	0.163	0.084	4.45651687137647e-10	Myeloid cell	PMAIP1	Up
TRMT10C	2.65147523078665e-14	-0.963698604407121	0.058	0.117	4.77636748073907e-10	Myeloid cell	TRMT10C	Down
ATP13A3	2.79763606033902e-14	-0.75846810209129	0.087	0.157	5.03966159909471e-10	Myeloid cell	ATP13A3	Down
TXNDC17	2.83445898260234e-14	-0.634793079803696	0.145	0.23	5.10599441125985e-10	Myeloid cell	TXNDC17	Down
MESD	2.88589712269029e-14	-0.817847737943666	0.094	0.165	5.19865507681429e-10	Myeloid cell	MESD	Down
POLR2K	3.12924001616362e-14	-0.77367336134888	0.101	0.175	5.63701296511714e-10	Myeloid cell	POLR2K	Down
MS4A4A	3.23964476070054e-14	-1.02407055481452	0.074	0.139	5.83589607192595e-10	Myeloid cell	MS4A4A	Down
SEMA3C	3.25697077318491e-14	-3.33771521044294	0.002	0.019	5.8671071508153e-10	Myeloid cell	SEMA3C	Down
SNRPA1	3.36845319212817e-14	-0.77092235448292	0.092	0.162	6.06793158029969e-10	Myeloid cell	SNRPA1	Down
NECAB1	3.39085007678195e-14	-2.91625144200466	0.002	0.019	6.10827732831501e-10	Myeloid cell	NECAB1	Down
GPX3	3.45258759980607e-14	-2.78630526943281	0.002	0.019	6.21949130229066e-10	Myeloid cell	GPX3	Down
NAA20	3.53989058558821e-14	-0.795543160797704	0.095	0.166	6.3767589008786e-10	Myeloid cell	NAA20	Down
TRIB1	3.68402101965598e-14	1.36964392163795	0.137	0.063	6.63639546480827e-10	Myeloid cell	TRIB1	Up
KNTC1	3.716389041569e-14	-1.24652102948606	0.039	0.087	6.6947032194824e-10	Myeloid cell	KNTC1	Down
CD70	3.78790125656924e-14	3.41884111208115	0.05	0.005	6.82352532358383e-10	Myeloid cell	CD70	Up
CCNG2	3.83608171066031e-14	1.87266623179627	0.086	0.027	6.91031759358349e-10	Myeloid cell	CCNG2	Up
FADS1	4.13836655296425e-14	-0.989555573982396	0.062	0.122	7.45485350850981e-10	Myeloid cell	FADS1	Down
YWHAH	4.24119741616091e-14	-0.675668088663441	0.114	0.191	7.64009302547226e-10	Myeloid cell	YWHAH	Down
CXorf21	4.26839014282364e-14	1.08454452769326	0.167	0.087	7.68907800328251e-10	Myeloid cell	CXorf21	Up
FOXM1	4.58940844342879e-14	-1.98882006795531	0.009	0.035	8.26736036999262e-10	Myeloid cell	FOXM1	Down
GNG2	4.72455069355526e-14	-0.933324955363602	0.05	0.105	8.51080561937045e-10	Myeloid cell	GNG2	Down
ABCE1	4.88195240906933e-14	-0.785123432078409	0.104	0.177	8.79434906969749e-10	Myeloid cell	ABCE1	Down
WDR76	5.120918432564e-14	-1.25100357724961	0.029	0.072	9.22482246442078e-10	Myeloid cell	WDR76	Down
ZC2HC1A	5.16947839286426e-14	-1.63727549230185	0.013	0.044	9.31229837690568e-10	Myeloid cell	ZC2HC1A	Down
PCSK5	5.37931514955193e-14	-1.76914714797245	0.009	0.037	9.69029831040284e-10	Myeloid cell	PCSK5	Down
UQCRB	5.49832651437275e-14	-0.273638264222663	0.607	0.724	9.90468538299108e-10	Myeloid cell	UQCRB	Down
ATP5A1	5.66636562894853e-14	-0.514780137863796	0.281	0.381	1.02073910439879e-09	Myeloid cell	ATP5A1	Down
ALG14	6.13503413452642e-14	-2.04435626775235	0.007	0.032	1.10516504899359e-09	Myeloid cell	ALG14	Down
ADGRE5	6.1584046268322e-14	0.973565640244916	0.198	0.113	1.10937500947755e-09	Myeloid cell	ADGRE5	Up
UBE2K	6.54981388978949e-14	-0.625068247002292	0.175	0.262	1.17988347410668e-09	Myeloid cell	UBE2K	Down
PPT1	6.70765870516747e-14	-0.521870013279323	0.262	0.364	1.20831763914887e-09	Myeloid cell	PPT1	Down
EXOSC9	6.73871338269103e-14	-1.07684115006052	0.051	0.105	1.21391182875796e-09	Myeloid cell	EXOSC9	Down
FRMD3	7.21672292366218e-14	2.40246709640681	0.062	0.012	1.3000204674685e-09	Myeloid cell	FRMD3	Up
ZGRF1	7.61707215922419e-14	-1.22507594961784	0.033	0.079	1.37213937876265e-09	Myeloid cell	ZGRF1	Down
SFT2D3	7.63063920219549e-14	-1.33940158707082	0.026	0.067	1.3745833458835e-09	Myeloid cell	SFT2D3	Down
ALDH7A1	7.81838267079378e-14	-2.96998342594245	0.003	0.02	1.40840345431679e-09	Myeloid cell	ALDH7A1	Down
TCEAL3	8.26633115042285e-14	-1.05917971106896	0.041	0.09	1.48909689343717e-09	Myeloid cell	TCEAL3	Down
IMPAD1	8.59790059609573e-14	-0.91411569766067	0.095	0.164	1.54882581338069e-09	Myeloid cell	IMPAD1	Down
CBX6	8.78332602192929e-14	-0.730837933293341	0.081	0.147	1.58222834959034e-09	Myeloid cell	CBX6	Down
HSD17B12	8.91717292229216e-14	-0.718172478011637	0.128	0.206	1.60633953022171e-09	Myeloid cell	HSD17B12	Down
KIF22	8.96468358824349e-14	-0.813013234539256	0.097	0.167	1.61489810158618e-09	Myeloid cell	KIF22	Down
RRM2	9.49486584708536e-14	-0.956005887230158	0.036	0.082	1.71040513369396e-09	Myeloid cell	RRM2	Down
NXF1	9.52896770741595e-14	1.28497636933374	0.141	0.068	1.71654824281391e-09	Myeloid cell	NXF1	Up
PAFAH1B2	9.61202469099392e-14	0.86879530100366	0.234	0.144	1.73151012783565e-09	Myeloid cell	PAFAH1B2	Up
NINJ1	9.72263098049386e-14	1.82398928419441	0.088	0.029	1.75143474482616e-09	Myeloid cell	NINJ1	Up
TROAP	9.92441891315794e-14	-1.88454258227732	0.011	0.04	1.78778482301627e-09	Myeloid cell	TROAP	Down
CMSS1	1.0377214279901e-13	-1.49069607081182	0.027	0.068	1.86935138038137e-09	Myeloid cell	CMSS1	Down
TUBA1C	1.07268630138655e-13	-0.92540087909847	0.077	0.14	1.93233710331773e-09	Myeloid cell	TUBA1C	Down
PEBP1	1.12672038969958e-13	-0.561306019271345	0.224	0.32	2.02967411000483e-09	Myeloid cell	PEBP1	Down
IST1	1.13513196537962e-13	1.11806863117922	0.151	0.075	2.04482672243485e-09	Myeloid cell	IST1	Up
CBWD1	1.13851204152676e-13	-0.882146231438039	0.058	0.115	2.05091559160631e-09	Myeloid cell	CBWD1	Down
NOP16	1.16932396960209e-13	-1.05791259122825	0.04	0.089	2.1064201988412e-09	Myeloid cell	NOP16	Down
CD37	1.21050307907684e-13	1.19862032179757	0.148	0.074	2.18060024664903e-09	Myeloid cell	CD37	Up
ENOSF1	1.21057481120872e-13	-0.99891329699118	0.054	0.109	2.18072946491138e-09	Myeloid cell	ENOSF1	Down
EPS8	1.22070939098204e-13	3.02186542592382	0.053	0.007	2.19898589691505e-09	Myeloid cell	EPS8	Up
ITGAL	1.24285016781197e-13	1.000291092458	0.164	0.086	2.23887029229648e-09	Myeloid cell	ITGAL	Up
HMGN3	1.25458259848382e-13	-0.495329014321195	0.196	0.289	2.26000509290875e-09	Myeloid cell	HMGN3	Down
NPM1	1.31330284048432e-13	-0.32045638031916	0.608	0.702	2.36578373684845e-09	Myeloid cell	NPM1	Down
MILR1	1.33282350181841e-13	1.38224395841758	0.106	0.042	2.40094825617568e-09	Myeloid cell	MILR1	Up
SEC61B	1.33688639900179e-13	-0.532669216657665	0.242	0.338	2.40826715916183e-09	Myeloid cell	SEC61B	Down
MRPL23	1.33947259972573e-13	-0.68536978050289	0.112	0.186	2.41292594114594e-09	Myeloid cell	MRPL23	Down
CD36	1.35158091827724e-13	0.703769040729043	0.399	0.304	2.43473786618461e-09	Myeloid cell	CD36	Up
